id,value,color
云计算专业技能图谱,
云计算专业技能图谱.Linux,
云计算专业技能图谱.Linux.User,2,#E54F24
云计算专业技能图谱.Linux.Network,2,#E54F24
云计算专业技能图谱.Linux.FS,2,#E54F24
云计算专业技能图谱.Linux.NameSpace,1.5,#E54F24
云计算专业技能图谱.Linux.CGroup,1.5,#E54F24
云计算专业技能图谱.Linux.Shell,2,#E54F24
云计算专业技能图谱.虚拟化,
云计算专业技能图谱.虚拟化.KVM,2,#2E2575
云计算专业技能图谱.虚拟化.VMWARE,1,#2E2575
云计算专业技能图谱.Openstack,
云计算专业技能图谱.Openstack.keyston,2,#E58E00
云计算专业技能图谱.Openstack.Neutron,2,#E58E00
云计算专业技能图谱.Openstack.Nova,2,#E58E00
云计算专业技能图谱.Openstack.Horizon,2,#E58E00
云计算专业技能图谱.Openstack.Apis,2,#E58E00
云计算专业技能图谱.Openstack.Storage,
云计算专业技能图谱.Openstack.Storage.Cinder,2,#E58E00
云计算专业技能图谱.Openstack.Storage.Swift,2,#E58E00
云计算专业技能图谱.Docker,
云计算专业技能图谱.Docker.Image,2,#EB2C2F
云计算专业技能图谱.Docker.Contrainer,2,#EB2C2F
云计算专业技能图谱.Docker.Registry,2,#EB2C2F
云计算专业技能图谱.Docker.CaaS,
云计算专业技能图谱.Docker.CaaS.Rancher,2,#EB2C2F
云计算专业技能图谱.Docker.Compose,
云计算专业技能图谱.Docker.Compose.KBS,1,#EB2C2F
云计算专业技能图谱.Docker.Compose.Cattle,1,#EB2C2F
云计算专业技能图谱.云网络,
云计算专业技能图谱.云网络.SDN Switch,2,#00618A
云计算专业技能图谱.云网络.OpenFlow,2,#00618A
云计算专业技能图谱.云网络.OpenDayle,1,#00618A
云计算专业技能图谱.云存储,
云计算专业技能图谱.云存储.Ceph,2,#808080
云计算专业技能图谱.云存储.Cinder,2,#808080
云计算专业技能图谱.云存储.Swift,1,#808080
云计算专业技能图谱.大数据,
云计算专业技能图谱.大数据.Hadoop,2,#6cb33e
云计算专业技能图谱.大数据.Spark,1,#6cb33e
云计算专业技能图谱.大数据.Hive,1,#6cb33e
云计算专业技能图谱.大数据.HBase,1,#6cb33e
云计算专业技能图谱.大数据.Mahout,1,#6cb33e
云计算专业技能图谱.大数据.AI,
云计算专业技能图谱.大数据.AI.TensorFlow,1,#6cb33e
云计算专业技能图谱.公有云,
云计算专业技能图谱.公有云.Qcloud,2,#808080